T,latency_s,text
1.0,0.212," I'm Saudi Arabia."
2.0,0.171," Saudi Arabia, you have already stopped."
3.0,0.195," Saudi Arabia, you have already started to have pipeline."
4.0,0.209," Saudi Arabia, you have already started to have pipelines to bypass."
5.0,0.239," When you saw Arabia, you have already started to have pipelines to bypass the straight of form of."
6.0,0.257," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were"
7.0,0.287," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for"
8.0,0.311," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years. There were two of"
9.0,0.337," Saudi Arabia, the U.S. have already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years, they were too expensive, but"
10.0,0.334," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years, they were too expensive, but almost immediately"
11.0,0.332," the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years, they were too expensive, but almost immediately they started"
12.0,0.323," started to have pipelines to bypass the straight of foremost. There were plans to do this for years, they were too expensive, but almost immediately they started to do that. So the"
13.0,0.336," to bypass the Strait of Formos. There were plans to do this for years. They were too expensive, but almost immediately they started to do that. So the Saudi Arabia"
14.0,0.330," the Strait of Formos. There were plans to do this for years. They were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to"
15.0,0.305," There were plans to do this for years. They were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five"
16.0,0.290," plans to do this for years, they were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five million bearers"
17.0,0.310," for years, they were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil"
18.0,0.291," expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day."
19.0,0.313," almost immediately they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March."
20.0,0.300," they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March."
21.0,0.292," to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March into the Red Sea."
22.0,0.305," Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already"
23.0,0.343," Maybe a started to put out four to five million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't"
24.0,0.334," put out four to five million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used."
25.0,0.314," 5 million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used."
26.0,0.339," of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called"
27.0,0.326," a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Foujax."
28.0,0.337," starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which"
29.0,0.359," into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which is where the UAE"
30.0,0.311," to the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which is where the UAE had a pipeline"
31.0,0.337," a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which is where the UAE had a pipeline that's almost two mil"
32.0,0.362," been built and hadn't been used. There's a little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day."
33.0,0.355," been used. There's a little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day, so 20 million"
34.0,0.354," There's a little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million barrels a day were"
35.0,0.382," little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million barrels a day, we're going through hormones."
36.0,0.348," called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million barrels a day, we're going through hormones, almost"
37.0,0.302," which is where the UAE had a pipeline that's almost 2 million barrels a day so 20 million barrels a day we're going through hormones almost immediately seven"
38.0,0.315," is where the UAE had a pipeline that's almost 2 million barrels a day so 20 million barrels a day we're going through hormones almost immediately 7 million we're"
39.0,0.323," had a pipeline that's almost 2 million barrels a day so 20 million barrels a day we're going through hormones almost immediately 7 million we're being bypassed"
40.0,0.344," that's almost 2 million barrels a day. So 20 million barrels a day, we're going through hormones, almost immediately 7 million we're being bypassed. Then there's all this"
41.0,0.368," billion barrels a day. So 20 million barrels a day, we're going through hormones, almost immediately 7 million, we're being bypassed. Then there's all this discussion that arises."
42.0,0.274," 20 million barrels a day were going through hormones almost immediately 7 million were being bypassed then there's all this discussion that Iraq might build"
43.0,0.315," in barrels a day, we're going through hormones, almost immediately 7 million were being bypassed. Then there's all this discussion that Iraq might build some pipe"
44.0,0.272," going through hormones, almost immediately 7 million were being bypassed. Then there's all this discussion that Iraq might build some pipelines, there might"
45.0,0.288," almost immediately 7 million were being bypassed. Then there's all this discussion that Iraq might build some pipelines, there might be other pipelines"
46.0,0.300," immediately seven million were being bypassed. Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through sea"
47.0,0.298," million were being bypassed. Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria."
48.0,0.324," being bypassed. Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria. So what if you're"
49.0,0.307," Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria. So what if you were Iran?"
50.0,0.270," discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria. So what if you're Iran, you now can"
51.0,0.300," might build some pipelines. There might be other pipelines here going through Syria. So what if you're wrong? You now control this, but"
52.0,0.280," some pipelines. There might be other pipelines here going through Syria. So what if you're wrong? You now control this, but notice"
53.0,0.301," lines, there might be other pipelines here going through Syria. So what if you're wrong? You now control this, but notice it's a declining"
54.0,0.299," the other pipelines here going through Syria. So what if you're wrong? You now control this, but notice it's a declining asset that"
55.0,0.307," here going through Syria. So what if you're Iran? You now control this, but notice it's a declining asset that way. If you only"
56.0,0.294," So what if you're wrong? You now control this but notice it's a declining asset that way if you only control or move"
57.0,0.314," So what if you are wrong? You now control this, but notice it's a declining asset that way. If you only control hormones within five years,"
58.0,0.318," Iran. You now control this, but notice it's a declining asset that way. If you only control Hormuz within five years, good chance"
59.0,0.315," You now control this, but notice it's a declining asset that way. If you only control Hormuz within five years, good chance your power is going to"
60.0,0.345," control this, but notice it's a declining asset that way. If you only control hormones within five years, good chance your power is going to be whittled away."
