T,latency_s,text
1.0,1.522," It's Saudi Arabia."
2.0,1.343," Saudi Arabia, the U.S. already..."
3.0,1.172," Saudi Arabia, you have already started to have pipeline."
4.0,1.013," Saudi Arabia, you have already started to have pipelines to bypass."
5.0,0.909," When you saw Arabia, you have already started to have pipelines to bypass the straight of form of."
6.0,0.929," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were"
7.0,0.973," Saudi Arabia, the U.S. have already started to have pipelines to bypass the Strait of Formos. There were plans to do this."
8.0,1.002," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years. There were two."
9.0,1.010," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years. They were too expensive."
10.0,1.051," Saudi Arabia, the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years. They were too expensive, but almost immediately"
11.0,1.104," the U.S. already started to have pipelines to bypass the Strait of Formos. There were plans to do this for years. They were too expensive, but almost immediately they started"
12.0,1.125," started to have pipelines to bypass the straight of formos. There were plans to do this for years. They were too expensive, but almost immediately they started to do that."
13.0,1.154," to bypass the straight of formos. There were plans to do this for years. They were too expensive, but almost immediately they started to do that. So the Saudi Arabia..."
14.0,1.186," the Strait of Formos. There were plans to do this for years. They were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to"
15.0,1.220," There were plans to do this for years. They were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five years."
16.0,1.263," plans to do this for years, they were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five million bearers."
17.0,1.289," for years, they were too expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil."
18.0,1.289," expensive, but almost immediately they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day."
19.0,1.316," almost immediately they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March."
20.0,1.338," they started to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day, starting in mid-March."
21.0,1.378," to do that. So the Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March into the Red Sea."
22.0,1.402," Saudi Arabia started to put out four to five million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already"
23.0,1.467," Maybe a started to put out four to five million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't."
24.0,1.525," put out four to five million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used."
25.0,1.555," 5 million barrels of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used."
26.0,1.616," of oil a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here."
